"Variable","No CVD (n=4427)","CVD (n=492)","p-value"
"Age, years","49.7 (17.3); 50.0 [35.0–63.0]","66.6 (11.8); 68.0 [60.0–77.0]","<0.001"
"BMI, kg/m²","29.8 (7.4); 28.6 [24.8–33.5]","30.5 (7.1); 29.3 [25.5–34.3]","0.058"
"HbA1c, %","5.8 (1.1); 5.6 [5.3–5.9]","6.3 (1.3); 5.9 [5.6–6.7]","<0.001"
"Sex, n (%)","","","<0.001"
"   Male","2066 (46.7%)","295 (60.0%)",""
"   Female","2361 (53.3%)","197 (40.0%)",""
"Race/Ethnicity, n (%)","","","<0.001"
"   Mexican American","625 (14.1%)","41 (8.3%)",""
"   Other Hispanic","439 (9.9%)","30 (6.1%)",""
"   Non-Hispanic White","1468 (33.2%)","243 (49.4%)",""
"   Non-Hispanic Black","1014 (22.9%)","118 (24.0%)",""
"   Other/Multiracial","881 (19.9%)","60 (12.2%)",""
"Smoking status, n (%)","","","<0.001"
"   Never","2658 (60.0%)","193 (39.2%)",""
"   Former","981 (22.2%)","201 (40.9%)",""
"   Current","788 (17.8%)","98 (19.9%)",""
"Hypertension, n (%)","","","<0.001"
"   No","2532 (57.2%)","102 (20.7%)",""
"   Yes","1895 (42.8%)","390 (79.3%)",""
"HbA1c category, n (%)","","","<0.001"
"   <5.7 (Normal)","2524 (57.0%)","150 (30.5%)",""
"   5.7–6.4 (Prediabetes)","1325 (29.9%)","198 (40.2%)",""
"   ≥6.5 (Diabetes)","578 (13.1%)","144 (29.3%)",""
